bbsname,cname,ename,sname,shortname
漠䳭,漠䳭,Desert Wheatear,Oenanthe deserti,"DEWH,OEDE"
白頂䳭,白頂䳭,Pied Wheatear,Oenanthe pleschanka,"PIWH,OEPL"
䳭屬,䳭屬,wheatear sp.,Oenanthe sp.,
鶲科,鶲科,Muscicapid sp.,Muscicapidae sp.,
黃連雀,黃連雀,Bohemian Waxwing,Bombycilla garrulus,"BOWA,BOGA"
朱連雀,朱連雀,Japanese Waxwing,Bombycilla japonica,"JAWA,BOJA"
綠啄花,綠啄花,Plain Flowerpecker,Dicaeum minullum,"PLFL,DIMI"
紅胸啄花,紅胸啄花,Fire-breasted Flowerpecker,Dicaeum ignipectus,"FBFL,DIIG"
啄花屬(XX啄花),啄花屬,Dicaeum sp.,Dicaeum sp.,
黃腹花蜜鳥,黃腹花蜜鳥,Olive-backed Sunbird,Cinnyris jugularis,"OBSU,CIJU"
藍喉太陽鳥,藍喉太陽鳥,Mrs. Gould's Sunbird,Aethopyga gouldiae,"MGSU,GOSU,AEGO"
叉尾太陽鳥,叉尾太陽鳥,Fork-tailed Sunbird,Aethopyga christinae,"FTSU,AECH"
黑頭織雀,黑頭織雀,Village Weaver,Ploceus cucullatus,"VIWE,PLCU"
橙頰梅花雀,橙頰梅花雀,Orange-cheeked Waxbill,Estrilda melpoda,"OCHW,OCWA,ESME"
橫斑梅花雀,橫斑梅花雀,Common Waxbill,Estrilda astrild,"COMW,COWA,ESAS"
紅梅花雀,紅梅花雀,Red Avadavat,Amandava amandava,"REAV,AMAM"
白喉文鳥,白喉文鳥,Indian Silverbill,Euodice malabarica,"INSI,EUMA"
白腰文鳥,白腰文鳥,White-rumped Munia,Lonchura striata,"WRMU,LOST"
斑文鳥,斑文鳥,Scaly-breasted Munia,Lonchura punctulata,"SBMU,LOPU"
黑頭文鳥,黑頭文鳥,Chestnut Munia,Lonchura atricapilla,"CHMU,LOAT"
白頭文鳥,白頭文鳥,White-headed Munia,Lonchura maja,"WHMU,LOMA"
爪哇雀,爪哇雀,Java Sparrow,Lonchura oryzivora,"JASP,LOOR"
文鳥屬(XX文鳥),文鳥屬,Lonchura sp.,Lonchura sp.,
針尾維達雀,針尾維達雀,Pin-tailed Whydah,Vidua macroura,"PTWH,VIMA"
岩鷚,岩鷚,Alpine Accentor,Prunella collaris,"ALAC,PRCO"
家麻雀,家麻雀,House Sparrow,Passer domesticus,"HOSP,PADO"
山麻雀,山麻雀,Russet Sparrow,Passer cinnamomeus,"RUSP,PACI"
麻雀,麻雀,Eurasian Tree Sparrow,Passer montanus,"ETSP,PAMO"
