id,fid,cname,ename,sname,shortname
308,34,日本松雀鷹,Japanese Sparrowhawk,Accipiter gularis,"JASP,ACGU"
309,34,松雀鷹,Besra,Accipiter virgatus,"BESR,ACVI"
310,34,北雀鷹,Eurasian Sparrowhawk,Accipiter nisus,"EUSP,ACNI"
311,34,蒼鷹,Northern Goshawk,Accipiter gentilis,"NOGO,ACGE"
312,34,黑鳶,Black Kite,Milvus migrans,"BLAK,BBKI,BLKI,MIMI"
313,34,栗鳶,Brahminy Kite,Haliastur indus,"BRKI,HAIN"
314,34,白尾海鵰,White-tailed Eagle,Haliaeetus albicilla,"WTEA,HAAL"
315,34,白腹海鵰,White-bellied Sea-Eagle,Haliaeetus leucogaster,"WBSE,HALE"
316,34,毛足鵟,Rough-legged Hawk,Buteo lagopus,"RLHA,RLBU,BULA"
317,34,東方鵟,Eastern Buzzard,Buteo japonicus,"EABU,BUJA"
318,34,大鵟,Upland Buzzard,Buteo hemilasius,"UPBU,BUHE"
319,35,草鴞,Australasian Grass-Owl,Tyto longimembris,"AGOW,AUGO,EGOW,TYLO"
320,36,黃嘴角鴞,Mountain Scops-Owl,Otus spilocephalus,"MSOW,MOSO,OTSP"
321,36,領角鴞,Collared Scops-Owl,Otus lettia,"COSO,CSOW,OTLE"
322,36,蘭嶼角鴞,Ryukyu Scops-Owl,Otus elegans,"RYSO,RSOW,OTEL"
323,36,東方角鴞,Oriental Scops-Owl,Otus sunia,"ORSO,OSOW,OTSU"
324,36,黃魚鴞,Tawny Fish-Owl,Ketupa flavipes,"TFOW,TAFO,KEFL"
325,36,鵂鶹,Collared Owlet,Glaucidium brodiei,"COOW,GLBR"
326,36,縱紋腹小鴞,Little Owl,Athene noctua,"LIOW,ATNO"
327,36,褐林鴞,Brown Wood-Owl,Strix leptogrammica,"BWOW,BRWO,STLE"
328,36,東方灰林鴞,Himalayan Owl,Strix nivicolum,"HIOW,STNI"
329,36,長耳鴞,Long-eared Owl,Asio otus,"LEOW,ASOT"
330,36,短耳鴞,Short-eared Owl,Asio flammeus,"SEOW,PUEO,ASFL"
331,36,褐鷹鴞,Northern Boobook,Ninox japonica,"NOBB,NOBO,NIJA"
332,37,戴勝,Eurasian Hoopoe,Upupa epops,"EHOO,HOOP,EUHO,UPEP"
333,38,翠鳥,Common Kingfisher,Alcedo atthis,"COKI,ALAT"
334,38,黑背三趾翠鳥,Black-backed Dwarf-Kingfisher,Ceyx erithaca,"BBDK,CEER"
335,38,赤背三趾翠鳥,Rufous-backed Dwarf-Kingfisher,Ceyx rufidorsa,"RBDK,CERU"
336,38,赤翡翠,Ruddy Kingfisher,Halcyon coromanda,"RUKI,HACO"
337,38,蒼翡翠,White-throated Kingfisher,Halcyon smyrnensis,"SMKI,WTKI,HASM"
338,38,黑頭翡翠,Black-capped Kingfisher,Halcyon pileata,"BCKI,HAPI"
339,38,白領翡翠,Collared Kingfisher,Todiramphus chloris,"COKI,TOCH"
340,38,斑翡翠,Pied Kingfisher,Ceryle rudis,"PIKI,CERU"
341,39,藍喉蜂虎,Blue-throated Bee-eater,Merops viridis,"IBTB,BTBE,MEVI"
342,39,藍頰蜂虎,Blue-cheeked Bee-eater,Merops persicus,"BCBE,MEPE"
343,39,栗喉蜂虎,Blue-tailed Bee-eater,Merops philippinus,"BTBE,MEPH"
344,39,彩虹蜂虎,Rainbow Bee-eater,Merops ornatus,"RABE,RBEA,MEOR"
345,40,佛法僧,Dollarbird,Eurystomus orientalis,"ORDO,DOLL,EUOR"
346,41,五色鳥,Taiwan Barbet,Psilopogon nuchalis,"TABA,PSNU"
347,42,地啄木,Eurasian Wryneck,Jynx torquilla,"EUWR,JYTO"
348,42,小啄木,Gray-capped Woodpecker,Yungipicus canicapillus,"GCWO,GCPW,YUCA"
349,42,大赤啄木,White-backed Woodpecker,Dendrocopos leucotos,"WBWO,DELE"
350,42,綠啄木,Gray-headed Woodpecker,Picus canus,"GHWO,PICA"
351,43,紅隼,Eurasian Kestrel,Falco tinnunculus,"EUKE,COKE,FATI"
352,43,紅腳隼,Amur Falcon,Falco amurensis,"AMFA,FAAM"
353,43,灰背隼,Merlin,Falco columbarius,"MERL,FACO"
354,43,燕隼,Eurasian Hobby,Falco subbuteo,"EHOB,EUHO,FASU"
355,43,遊隼,Peregrine Falcon,Falco peregrinus,"PEFA,FAPE"
356,44,藍翅八色鳥,Blue-winged Pitta,Pitta moluccensis,"BWPI,PIMO"
357,44,八色鳥,Fairy Pitta,Pitta nympha,"FAPI,PINY"
358,44,綠胸八色鳥,Hooded Pitta,Pitta sordida,"HOPI,PISO"
359,45,灰喉山椒鳥,Gray-chinned Minivet,Pericrocotus solaris,"GCMI,PESO"
360,45,長尾山椒鳥,Long-tailed Minivet,Pericrocotus ethologus,"LTMI,PEET"
361,45,赤紅山椒鳥,Scarlet Minivet,Pericrocotus speciosus,"SCMI,PESP"
362,45,琉球山椒鳥,Ryukyu Minivet,Pericrocotus tegimae,"RYMI,PETE"
363,45,灰山椒鳥,Ashy Minivet,Pericrocotus divaricatus,"ASMI,PEDI"
364,45,小灰山椒鳥,Brown-rumped Minivet,Pericrocotus cantonensis,"BRMI,SWMI,PECA"
365,45,粉紅山椒鳥,Rosy Minivet,Pericrocotus roseus,"ROMI,PERO"
366,45,花翅山椒鳥,Large Cuckooshrike,Coracina macei,"LACU,COMA"
367,45,黑原鵑鵙,Pied Triller,Lalage nigra,"PITR,LANI"
368,45,黑翅山椒鳥,Black-winged Cuckooshrike,Lalage melaschistos,"BWCU,LAME"
369,46,綠畫眉,White-bellied Erpornis,Erpornis zantholeuca,"WBER,ERZA"
370,47,黃鸝,Black-naped Oriole,Oriolus chinensis,"BNOR,ORCH"
371,47,朱鸝,Maroon Oriole,Oriolus traillii,"MAOR,ORTR"
372,48,大卷尾,Black Drongo,Dicrurus macrocercus,"BLDR,DIMA"
373,48,灰卷尾,Ashy Drongo,Dicrurus leucophaeus,"ASDR,DILE"
374,48,鴉嘴卷尾,Crow-billed Drongo,Dicrurus annectens,"CBDR,DIAN"
375,48,小卷尾,Bronzed Drongo,Dicrurus aeneus,"BRDR,DIAE"
376,48,髮冠卷尾,Hair-crested Drongo,Dicrurus hottentottus,"HCDR,DIHO"
377,49,黑枕藍鶲,Black-naped Monarch,Hypothymis azurea,"BNMO,HYAZ"
378,49,紫綬帶,Japanese Paradise-Flycatcher,Terpsiphone atrocaudata,"JPFL,JAPF,TEAT"
379,49,阿穆爾綬帶,Amur Paradise-Flycatcher,Terpsiphone incei,"AMPF,APFL,TEIN"
380,50,虎紋伯勞,Tiger Shrike,Lanius tigrinus,"TISH,LATI"
381,50,紅頭伯勞,Bull-headed Shrike,Lanius bucephalus,"BHSH,LABU"
382,50,紅背伯勞,Red-backed Shrike,Lanius collurio,"RBSH,LACO"
383,50,荒漠伯勞,Isabelline Shrike,Lanius isabellinus,"ISSH,LAIS"
384,50,紅尾伯勞,Brown Shrike,Lanius cristatus,"BROS,BRSH,LACR"
385,50,栗背伯勞,Burmese Shrike,Lanius collurioides,"BUSH,LACO"
386,50,棕背伯勞,Long-tailed Shrike,Lanius schach,"LTSH,LASC"
387,50,灰背伯勞,Gray-backed Shrike,Lanius tephronotus,"GBSH,LATE"
388,50,楔尾伯勞,Chinese Gray Shrike,Lanius sphenocercus,"CGSH,LASP"
389,51,松鴉,Eurasian Jay,Garrulus glandarius,"EUJA,GAGL"
390,51,灰喜鵲,Azure-winged Magpie,Cyanopica cyanus,"AWMA,CYCY"
391,51,台灣藍鵲,Taiwan Blue-Magpie,Urocissa caerulea,"TBMA,TABM,URCA"
392,51,樹鵲,Gray Treepie,Dendrocitta formosae,"GRTR,DEFO"
393,51,喜鵲,Oriental Magpie,Pica serica,"ORMA,PISE"
394,51,星鴉,Eurasian Nutcracker,Nucifraga caryocatactes,"SPNU,EUNU,NUCA"
395,51,東方寒鴉,Daurian Jackdaw,Corvus dauuricus,"DAJA,CODA"
396,51,家烏鴉,House Crow,Corvus splendens,"HOCR,COSP"
397,51,禿鼻鴉,Rook,Corvus frugilegus,"ROOK,COFR"
398,51,小嘴烏鴉,Carrion Crow,Corvus corone,"CACR,COCO"
399,51,巨嘴鴉,Large-billed Crow,Corvus macrorhynchos,"LBJJ,LBCR,COMA"
400,51,玉頸鴉,Collared Crow,Corvus pectoralis,"COCR,COPE"
401,52,方尾鶲,Gray-headed Canary-Flycatcher,Culicicapa ceylonensis,"GHCF,CUCE"
402,53,煤山雀,Coal Tit,Periparus ater,"COTI,PEAT"
403,53,黃腹山雀,Yellow-bellied Tit,Periparus venustulus,"YBTI,PEVE"
404,53,赤腹山雀,Chestnut-bellied Tit,Sittiparus castaneoventris,"CBTI,SICA"
405,53,雜色山雀,Varied Tit,Sittiparus varius,"VATI,SIVA"
406,53,青背山雀,Green-backed Tit,Parus monticolus,"GBTI,PAMO"
407,53,白頰山雀,Japanese Tit,Parus minor,"JATI,PAMI"
408,53,黃山雀,Taiwan Yellow Tit,Machlolophus holsti,"YETI,TYTI,MAHO"
409,54,攀雀,Chinese Penduline-Tit,Remiz consobrinus,"CPTI,CHPT,RECO"
410,55,賽氏短趾百靈,Sykes's Short-toed Lark,Calandrella dukhunensis,"MSTL,ESTL,SSTL,CADU"
411,55,亞洲短趾百靈,Asian Short-toed Lark,Alaudala cheleensis,"ASTL,ALCH"
412,55,歐亞雲雀,Eurasian Skylark,Alauda arvensis,"EUSK,SKYL,ALAR"
413,55,小雲雀,Oriental Skylark,Alauda gulgula,"ORSK,ALGU"
414,56,斑紋鷦鶯,Striated Prinia,Prinia crinigera,"STPR,PRCR"
415,56,灰頭鷦鶯,Yellow-bellied Prinia,Prinia flaviventris,"YBPR,PRFL"
416,56,褐頭鷦鶯,Plain Prinia,Prinia inornata,"PLPR,PRIN"
417,56,棕扇尾鶯,Zitting Cisticola,Cisticola juncidis,"ZICI,CIJU"
418,56,黃頭扇尾鶯,Golden-headed Cisticola,Cisticola exilis,"GHCI,CIEX"
419,57,厚嘴葦鶯,Thick-billed Warbler,Arundinax aedon,"TBWA,ARAE"
420,57,靴籬鶯,Booted Warbler,Iduna caligata,"BOWA,IDCA"
421,57,雙眉葦鶯,Black-browed Reed Warbler,Acrocephalus bistrigiceps,"BBRW,ACBI"
422,57,細紋葦鶯,Streaked Reed Warbler,Acrocephalus sorghophilus,"SRWA,ACSO"
423,57,稻田葦鶯,Paddyfield Warbler,Acrocephalus agricola,"PAWA,ACAG"
424,57,鈍翅葦鶯,Blunt-winged Warbler,Acrocephalus concinens,"BWWA,ACCO"
425,57,遠東葦鶯,Manchurian Reed Warbler,Acrocephalus tangorum,"MRWA,ACTA"
426,57,布氏葦鶯,Blyth's Reed Warbler,Acrocephalus dumetorum,"BREW,BRWA,ACDU"
427,57,東方大葦鶯,Oriental Reed Warbler,Acrocephalus orientalis,"ORWA,ACOR"
428,58,蒼眉蝗鶯,Gray's Grasshopper-Warbler,Locustella fasciolata,"GRGW,GGWA,LOFA"
429,58,庫頁島蝗鶯,Sakhalin Grasshopper-Warbler,Locustella amnicola,"SAGW,SGWA,LOAM"
430,58,小蝗鶯,Pallas's Grasshopper-Warbler,Locustella certhiola,"PGWA,PAGW,LOCE"
431,58,北蝗鶯,Middendorff's Grasshopper-Warbler,Locustella ochotensis,"MIGW,MGWA,LOOC"
432,58,史氏蝗鶯,Pleske's Grasshopper-Warbler,Locustella pleskei,"SGWA,PGWA,PLGW,LOPL"
433,58,矛斑蝗鶯,Lanceolated Warbler,Locustella lanceolata,"LANW,LAWA,LOLA"
434,58,台灣叢樹鶯,Taiwan Bush Warbler,Locustella alishanensis,"TBWA,LOAL"
435,58,赤褐蝗鶯,Russet Bush Warbler,Locustella mandelli,"RBWA,LOMA"
436,59,台灣鷦眉,Taiwan Cupwing,Pnoepyga formosana,"TACU,PNFO"
437,60,棕沙燕,Gray-throated Martin,Riparia chinensis,"GTMA,APMA,RICH"
438,60,灰沙燕,Bank Swallow,Riparia riparia,"BANS,SAMA,BASW,CSMA,RIRI"
439,60,家燕,Barn Swallow,Hirundo rustica,"BARS,BASW,HIRU"
440,60,洋燕,Pacific Swallow,Hirundo tahitica,"PASW,HITA"
441,60,金腰燕,Red-rumped Swallow,Cecropis daurica,"RRAS,RRSW,CEDA"
442,60,赤腰燕,Striated Swallow,Cecropis striolata,"STSW,CEST"
443,60,白腹毛腳燕,Common House-Martin,Delichon urbicum,"COHM,CHMA,DEUR"
444,60,東方毛腳燕,Asian House-Martin,Delichon dasypus,"ASHM,AHMA,DEDA"
445,61,白環鸚嘴鵯,Collared Finchbill,Spizixos semitorques,"COFI,SPSE"
446,61,烏頭翁,Styan's Bulbul,Pycnonotus taivanus,"STBU,PYTA"
447,61,白頭翁,Light-vented Bulbul,Pycnonotus sinensis,"LVBU,PYSI"
448,61,白喉紅臀鵯,Sooty-headed Bulbul,Pycnonotus aurigaster,"SHBU,PYAU"
449,61,紅嘴黑鵯,Black Bulbul,Hypsipetes leucocephalus,"HBBU,BLBU,HYLE"
450,61,棕耳鵯,Brown-eared Bulbul,Hypsipetes amaurotis,"BEBU,HYAM"
451,61,栗背短腳鵯,Chestnut Bulbul,Hemixos castanonotus,"CHBU,HECA"
452,62,林柳鶯,Wood Warbler,Phylloscopus sibilatrix,"WOWA,PHSI"
453,62,黃眉柳鶯,Yellow-browed Warbler,Phylloscopus inornatus,"YBWA,PHIN"
454,62,淡眉柳鶯,Hume's Warbler,Phylloscopus humei,"HUWA,HLWA,PHHU"
455,62,雲南柳鶯,Chinese Leaf Warbler,Phylloscopus yunnanensis,"CLWA,PHYU"
456,62,黃腰柳鶯,Pallas's Leaf Warbler,Phylloscopus proregulus,"PLEW,PAWA,PLWA,PHPR"
457,62,巨嘴柳鶯,Radde's Warbler,Phylloscopus schwarzi,"RAWA,PHSC"
458,62,棕眉柳鶯,Yellow-streaked Warbler,Phylloscopus armandii,"YSWA,PHAR"
459,62,黃腹柳鶯,Tickell's Leaf Warbler,Phylloscopus affinis,"TLWA,PHAF"
460,62,褐色柳鶯,Dusky Warbler,Phylloscopus fuscatus,"DUWA,PHFU"
461,62,棕腹柳鶯,Buff-throated Warbler,Phylloscopus subaffinis,"BTWA,PHSU"
462,62,歐亞柳鶯,Willow Warbler,Phylloscopus trochilus,"WILW,WIWA,PHTR"
463,62,嘰喳柳鶯,Common Chiffchaff,Phylloscopus collybita,"CCHI,COCH,PHCO"
464,62,冠羽柳鶯,Eastern Crowned Warbler,Phylloscopus coronatus,"ECWA,PHCO"
465,62,飯島柳鶯,Ijima's Leaf Warbler,Phylloscopus ijimae,"ILWA,PHIJ"
466,62,白眶鶲鶯,White-spectacled Warbler,Phylloscopus intermedius,"WSWA,PHIN"
467,62,比氏鶲鶯,Bianchi's Warbler,Phylloscopus valentini,"BIWA,PHVA"
468,62,淡尾鶲鶯,Alström's Warbler,Phylloscopus soror,"ALWA,PHSO"
469,62,暗綠柳鶯,Greenish Warbler,Phylloscopus trochiloides,"GRWA,PHTR"
470,62,雙斑綠柳鶯,Two-barred Warbler,Phylloscopus plumbeitarsus,"TBWA,PHPL"
471,62,淡腳柳鶯,Pale-legged Leaf Warbler,Phylloscopus tenellipes,"PLLW,PHTE"
472,62,庫頁島柳鶯,Sakhalin Leaf Warbler,Phylloscopus borealoides,"SLWA,PHBO"
473,62,日本柳鶯,Japanese Leaf Warbler,Phylloscopus xanthodryas,"JLWA,PHXA"
474,62,極北柳鶯,Arctic Warbler,Phylloscopus borealis,"ARWA,PHBO"
475,62,勘察加柳鶯,Kamchatka Leaf Warbler,Phylloscopus examinandus,"KLWA,PHEX"
476,62,栗頭鶲鶯,Chestnut-crowned Warbler,Phylloscopus castaniceps,"CCWA,PHCA"
477,62,黑眉柳鶯,Sulphur-breasted Warbler,Phylloscopus ricketti,"SBWA,PHRI"
478,62,克氏冠紋柳鶯,Claudia's Leaf Warbler,Phylloscopus claudiae,"CLWA,PHCL"
479,62,哈氏冠紋柳鶯,Hartert's Leaf Warbler,Phylloscopus goodsoni,"HLWA,PHGO"
480,63,短尾鶯,Asian Stubtail,Urosphena squameiceps,"ASST,URSQ"
481,63,棕面鶯,Rufous-faced Warbler,Abroscopus albogularis,"RFWA,ABAL"
482,63,日本樹鶯,Japanese Bush Warbler,Horornis diphone,"JABW,JBWA,HODI"
483,63,遠東樹鶯,Manchurian Bush Warbler,Horornis canturians,"MBWA,HOCA"
484,63,小鶯,Brownish-flanked Bush Warbler,Horornis fortipes,"BFBW,HOFO"
485,63,深山鶯,Yellowish-bellied Bush Warbler,Horornis acanthizoides,"YBBW,HOAC"
486,64,紅頭山雀,Black-throated Tit,Aegithalos concinnus,"BTTI,BTBU,AECO"
487,65,漠地林鶯,Asian Desert Warbler,Sylvia nana,"ADWA,SYNA"
488,65,白喉林鶯,Lesser Whitethroat,Sylvia curruca,"LEWH,SYCU"
489,65,褐頭花翼,Taiwan Fulvetta,Fulvetta formosana,"TAFU,FUFO"
490,65,粉紅鸚嘴,Vinous-throated Parrotbill,Sinosuthora webbiana,"VTPA,SIWE"
491,65,黃羽鸚嘴,Golden Parrotbill,Suthora verreauxi,"GOPA,SUVE"
492,66,栗耳鳳鶥,Indochinese Yuhina,Yuhina torqueola,"INYU,YUTO"
493,66,冠羽畫眉,Taiwan Yuhina,Yuhina brunneiceps,"TAYU,YUBR"
494,66,紅脇繡眼,Chestnut-flanked White-eye,Zosterops erythropleurus,"CFWE,ZOER"
495,66,日菲繡眼,Warbling White-eye,Zosterops japonicus,"WAWE,WWEY,ZOJA"
496,66,斯氏繡眼,Swinhoe's White-eye,Zosterops simplex,"SWWE,SWEY,ZOSI"
497,66,低地繡眼,Lowland White-eye,Zosterops meyeni,"LWEY,LOWE,ZOME"
498,67,山紅頭,Rufous-capped Babbler,Cyanoderma ruficeps,"RCBA,CYRU"
499,67,小彎嘴,Taiwan Scimitar-Babbler,Pomatorhinus musicus,"TSBA,TASB,POMU"
500,67,大彎嘴,Black-necklaced Scimitar-Babbler,Megapomatorhinus erythrocnemis,"BNSB,MEER"
501,68,頭烏線,Dusky Fulvetta,Schoeniparus brunneus,"DUFU,SCBR"
502,69,繡眼畫眉,Morrison's Fulvetta,Alcippe morrisonia,"MOFU,GCFU,ALMO"
503,69,黑臉噪鶥,Masked Laughingthrush,Garrulax perspicillatus,"MALA,GAPE"
504,69,大陸畫眉,Chinese Hwamei,Garrulax canorus,"HWAM,CHHW,GACA"
505,69,台灣畫眉,Taiwan Hwamei,Garrulax taewanus,"TAHW,GATA"
506,69,台灣白喉噪眉,Rufous-crowned Laughingthrush,Ianthocincla ruficeps,"RCLA,IARU"
507,69,黑喉噪眉,Black-throated Laughingthrush,Ianthocincla chinensis,"BTLA,IACH"
508,69,棕噪眉,Rusty Laughingthrush,Ianthocincla poecilorhyncha,"RULA,IAPO"
509,69,台灣噪眉,White-whiskered Laughingthrush,Trochalopteron morrisonianum,"WWLA,TRMO"
510,69,白耳畫眉,White-eared Sibia,Heterophasia auricularis,"WESI,HEAU"
511,69,黃胸藪眉,Steere's Liocichla,Liocichla steerii,"STLI,LIST"
512,69,紋翼畫眉,Taiwan Barwing,Actinodura morrisoniana,"TABA,ACMO"
513,70,戴菊鳥,Goldcrest,Regulus regulus,"GOLD,RERE"
514,70,火冠戴菊鳥,Flamecrest,Regulus goodfellowi,"FLAM,REGO"
515,71,茶腹鳾,Eurasian Nuthatch,Sitta europaea,"EUNU,SIEU"
516,72,鷦鷯,Eurasian Wren,Troglodytes troglodytes,"EUWR,TRTR"
517,73,河烏,Brown Dipper,Cinclus pallasii,"BRDI,CIPA"
518,74,亞洲輝椋鳥,Asian Glossy Starling,Aplonis panayensis,"AGST,APPA"
519,74,歐洲椋鳥,European Starling,Sturnus vulgaris,"EUST,COST,STVU"
520,74,粉紅椋鳥,Rosy Starling,Pastor roseus,"RCST,ROST,PARO"
521,74,北椋鳥,Daurian Starling,Agropsar sturninus,"DAST,PBST,AGST"
522,74,小椋鳥,Chestnut-cheeked Starling,Agropsar philippensis,"CCST,AGPH"
523,74,黑領椋鳥,Black-collared Starling,Gracupica nigricollis,"BCST,GRNI"
524,74,灰背椋鳥,White-shouldered Starling,Sturnia sinensis,"WSST,STSI"
525,74,灰頭椋鳥,Chestnut-tailed Starling,Sturnia malabarica,"CTST,STMA"
526,74,絲光椋鳥,Red-billed Starling,Spodiopsar sericeus,"RBST,SPSE"
527,74,灰椋鳥,White-cheeked Starling,Spodiopsar cineraceus,"WCST,SPCI"
528,74,家八哥,Common Myna,Acridotheres tristis,"COMY,PIHA,ACTR"
529,74,林八哥,Jungle Myna,Acridotheres fuscus,"JUMY,ACFU"
530,74,白尾八哥,Javan Myna,Acridotheres javanicus,"JAMY,ACJA"
531,74,八哥,Crested Myna,Acridotheres cristatellus,"CRMY,ACCR"
532,75,白氏地鶇,White's Thrush,Zoothera aurea,"WHTH,ZOAU"
533,75,虎斑地鶇,Scaly Thrush,Zoothera dauma,"SCTH,ZODA"
534,75,白眉地鶇,Siberian Thrush,Geokichla sibirica,"SITH,GESI"
535,75,橙頭地鶇,Orange-headed Thrush,Geokichla citrina,"OHTH,GECI"
536,75,寶興歌鶇,Chinese Thrush,Otocichla mupinensis,"CHTH,OTMU"
537,75,中國黑鶇,Chinese Blackbird,Turdus mandarinus,"CHBL,TUMA"
538,75,白頭鶇,Taiwan Thrush,Turdus niveiceps,"ISTH,TATH,TUNI"
539,75,烏灰鶇,Japanese Thrush,Turdus cardis,"JATH,TUCA"
540,75,灰背鶇,Gray-backed Thrush,Turdus hortulorum,"GBTH,TUHO"
541,75,白眉鶇,Eyebrowed Thrush,Turdus obscurus,"EYTH,TUOB"
542,75,赤腹鶇,Brown-headed Thrush,Turdus chrysolaus,"BHTH,TUCH"
543,75,白腹鶇,Pale Thrush,Turdus pallidus,"PATH,TUPA"
544,75,黑頸鶇,Black-throated Thrush,Turdus atrogularis,"BTTH,TUAT"
545,75,赤頸鶇,Red-throated Thrush,Turdus ruficollis,"RTTH,TURU"
546,75,斑點鶇,Dusky Thrush,Turdus eunomus,"DUTH,TUEU"
547,75,紅尾鶇,Naumann's Thrush,Turdus naumanni,"NATH,TUNA"
548,76,灰斑鶲,Gray-streaked Flycatcher,Muscicapa griseisticta,"GSFL,MUGR"
549,76,烏鶲,Dark-sided Flycatcher,Muscicapa sibirica,"DSFL,MUSI"
550,76,紅尾鶲,Ferruginous Flycatcher,Muscicapa ferruginea,"FEFL,MUFE"
551,76,寬嘴鶲,Asian Brown Flycatcher,Muscicapa dauurica,"ABFL,MUDA"
552,76,褐胸鶲,Brown-breasted Flycatcher,Muscicapa muttui,"BBFL,MUMU"
553,76,斑鶲,Spotted Flycatcher,Muscicapa striata,"SPFL,MUST"
554,76,鵲鴝,Oriental Magpie-Robin,Copsychus saularis,"ORMR,OMRO,COSA"
555,76,白腰鵲鴝,White-rumped Shama,Copsychus malabaricus,"WRSH,WRCS,COMA"
556,76,海南藍仙鶲,Hainan Blue Flycatcher,Cyornis hainanus,"HBFL,CYHA"
557,76,山藍仙鶲,Hill Blue Flycatcher,Cyornis banyumas,"HBFL,CYBA"
558,76,白喉林鶲,Brown-chested Jungle-Flycatcher,Cyornis brunneatus,"BCJF,CYBR"
559,76,棕腹大仙鶲,Fujian Niltava,Niltava davidi,"FUNI,NIDA"
560,76,棕腹仙鶲,Rufous-bellied Niltava,Niltava sundara,"RBNI,NISU"
561,76,黃腹琉璃,Vivid Niltava,Niltava vivida,"VINI,NIVI"
562,76,白腹琉璃,Blue-and-white Flycatcher,Cyanoptila cyanomelana,"BAWF,CYCY"
563,76,琉璃藍鶲,Zappey's Flycatcher,Cyanoptila cumatilis,"ZAFL,CYCU"
564,76,銅藍鶲,Verditer Flycatcher,Eumyias thalassinus,"VEFL,EUTH"
565,76,白喉短翅鶇,Lesser Shortwing,Brachypteryx leucophris,"LESH,BRLE"
566,76,小翼鶇,Taiwan Shortwing,Brachypteryx goodfellowi,"WBSH,TASH,BRGO"
567,76,紅尾歌鴝,Rufous-tailed Robin,Larvivora sibilans,"RTRO,LASI"
568,76,日本歌鴝,Japanese Robin,Larvivora akahige,"JARO,LAAK"
569,76,琉球歌鴝,Ryukyu Robin,Larvivora komadori,"RYRO,LAKO"
570,76,藍歌鴝,Siberian Blue Robin,Larvivora cyane,"SBRO,LACY"
571,76,藍喉鴝,Bluethroat,Luscinia svecica,"BLUE,LUSV"
572,76,台灣紫嘯鶇,Taiwan Whistling-Thrush,Myophonus insularis,"TWTH,TAWT,MYIN"
573,76,白斑紫嘯鶇,Blue Whistling-Thrush,Myophonus caeruleus,"BLWT,BWTH,MYCA"
574,76,小剪尾,Little Forktail,Enicurus scouleri,"LIFO,ENSC"
575,76,野鴝,Siberian Rubythroat,Calliope calliope,"SIRU,CACA"
576,76,白尾鴝,White-tailed Robin,Myiomela leucura,"WTRO,MYLE"
577,76,藍尾鴝,Red-flanked Bluetail,Tarsiger cyanurus,"RFBL,TACY"
578,76,白眉林鴝,White-browed Bush-Robin,Tarsiger indicus,"WBBR,TAIN"
579,76,栗背林鴝,Collared Bush-Robin,Tarsiger johnstoniae,"COBR,CBRO,TAJO"
580,76,白眉鶲,Yellow-rumped Flycatcher,Ficedula zanthopygia,"KOFL,YRFL,FIZA"
581,76,黃眉黃鶲,Narcissus Flycatcher,Ficedula narcissina,"NAFL,FINA"
582,76,白眉黃鶲,Mugimaki Flycatcher,Ficedula mugimaki,"MUFL,FIMU"
583,76,鏽胸藍姬鶲,Slaty-backed Flycatcher,Ficedula erithacus,"SBFL,FIER"
584,76,黃胸青鶲,Snowy-browed Flycatcher,Ficedula hyperythra,"SBFL,FIHY"
585,76,橙胸姬鶲,Rufous-gorgeted Flycatcher,Ficedula strophiata,"RGFL,FIST"
586,76,紅喉鶲,Taiga Flycatcher,Ficedula albicilla,"TAFL,FIAL"
587,76,紅胸鶲,Red-breasted Flycatcher,Ficedula parva,"RBFL,FIPA"
588,76,藍額紅尾鴝,Blue-fronted Redstart,Phoenicurus frontalis,"BFRE,PHFR"
589,76,鉛色水鶇,Plumbeous Redstart,Phoenicurus fuliginosus,"PLRE,PWRE,PHFU"
590,76,白頂溪鴝,White-capped Redstart,Phoenicurus leucocephalus,"WCRE,PHLE"
591,76,赭紅尾鴝,Black Redstart,Phoenicurus ochruros,"BLRE,PHOC"
592,76,黃尾鴝,Daurian Redstart,Phoenicurus auroreus,"DARE,PHAU"
593,76,白喉磯鶇,White-throated Rock-Thrush,Monticola gularis,"WTRT,MOGU"
594,76,藍磯鶇,Blue Rock-Thrush,Monticola solitarius,"BLRT,BRTH,MOSO"
595,76,黑喉鴝,Siberian Stonechat,Saxicola maurus,"SIST,SAMA"
596,76,白斑黑石䳭,Pied Bushchat,Saxicola caprata,"PIBU,PBCH,PIST,SACA"
597,76,灰叢鴝,Gray Bushchat,Saxicola ferreus,"GBCH,GRBU,SAFE"
598,76,穗䳭,Northern Wheatear,Oenanthe oenanthe,"NOWH,OEOE"
599,76,沙䳭,Isabelline Wheatear,Oenanthe isabellina,"ISWH,OEIS"
600,76,漠䳭,Desert Wheatear,Oenanthe deserti,"DEWH,OEDE"
601,76,白頂䳭,Pied Wheatear,Oenanthe pleschanka,"PIWH,OEPL"
602,77,黃連雀,Bohemian Waxwing,Bombycilla garrulus,"BOWA,BOGA"
603,77,朱連雀,Japanese Waxwing,Bombycilla japonica,"JAWA,BOJA"
604,78,綠啄花,Plain Flowerpecker,Dicaeum minullum,"PLFL,DIMI"
605,78,紅胸啄花,Fire-breasted Flowerpecker,Dicaeum ignipectus,"FBFL,DIIG"
606,79,黃腹花蜜鳥,Olive-backed Sunbird,Cinnyris jugularis,"OBSU,CIJU"
